EntrezID,Symbol,EnsemblID
1,A1BG,ENSG00000121410
2,A2M,ENSG00000175899
3,A2MP1,ENSG00000256069
9,NAT1,ENSG00000171428
10,NAT2,ENSG00000156006
11,NATP,NaN
12,SERPINA3,ENSG00000196136
13,AADAC,ENSG00000114771
14,AAMP,ENSG00000127837
15,AANAT,ENSG00000129673
16,AARS,ENSG00000090861
17,AAVS1,NaN
18,ABAT,ENSG00000183044
19,ABCA1,ENSG00000165029
20,ABCA2,ENSG00000107331
21,ABCA3,ENSG00000167972
22,ABCB7,ENSG00000131269
23,ABCF1,ENSG00000204574
24,ABCA4,ENSG00000198691
25,ABL1,ENSG00000097007
26,AOC1,ENSG00000002726
27,ABL2,ENSG00000143322
28,ABO,ENSG00000175164
29,ABR,ENSG00000159842
30,ACAA1,ENSG00000060971
31,ACACA,ENSG00000278540
32,ACACB,ENSG00000076555
33,ACADL,ENSG00000115361
34,ACADM,ENSG00000117054
35,ACADS,ENSG00000122971
36,ACADSB,ENSG00000196177
37,ACADVL,ENSG00000072778
38,ACAT1,ENSG00000075239
39,ACAT2,ENSG00000120437
40,ASIC2,ENSG00000108684
41,ASIC1,ENSG00000110881
43,ACHE,ENSG00000087085
46,ACLS,NaN
47,ACLY,ENSG00000131473
48,ACO1,ENSG00000122729
49,ACR,ENSG00000100312
50,ACO2,ENSG00000100412
51,ACOX1,ENSG00000161533
52,ACP1,ENSG00000143727
53,ACP2,ENSG00000134575
54,ACP5,ENSG00000102575
55,ACPP,ENSG00000014257
56,ACRV1,ENSG00000134940
58,ACTA1,ENSG00000143632
59,ACTA2,ENSG00000107796
60,ACTB,ENSG00000075624
62,ACTBP2,NaN
63,ACTBP3,NaN
64,ACTBP4,NaN
66,ACTBP6,NaN
67,ACTBP7,NaN
68,ACTBP8,NaN
69,ACTBP9,NaN
70,ACTC1,ENSG00000159251
71,ACTG1,ENSG00000184009
72,ACTG2,ENSG00000163017
73,ACTG1P1,NaN
74,ACTG1P2,NaN
75,ACTG1P3,NaN
78,ACTG1P6,NaN
79,ACTG1P7,NaN
80,ACTG1P8,NaN
81,ACTN4,ENSG00000130402
82,ACTG1P9,NaN
83,ACTG1P10,NaN
86,ACTL6A,ENSG00000136518
87,ACTN1,ENSG00000072110
88,ACTN2,ENSG00000077522
